report_id,inspection_id,damage_type,severity,estimated_cost,part_affected,image_count
REP000165,INSP000117,Bumper Damage,1,1240.98,Front Bumper,4
REP000166,INSP000117,Rust,5,2940.84,Left Front Door,3
REP000167,INSP000117,Rust,5,2540.52,Right Rear Fender,2
REP000168,INSP000117,Glass Damage,5,5598.79,Left Front Fender,4
REP000169,INSP000118,Glass Damage,1,805.94,Left Rear Fender,3
REP000170,INSP000118,Rust,3,1248.98,Roof,4
REP000171,INSP000118,Structural Damage,2,4836.51,Right Rear Door,5
REP000172,INSP000119,Structural Damage,4,14160.14,Left Rear Fender,1
REP000173,INSP000120,Structural Damage,1,2942.16,Hood,1
REP000174,INSP000120,Scratch,3,585.31,Roof,1
REP000175,INSP000120,Scratch,2,453.31,Hood,1
REP000176,INSP000121,Crack,5,3453.47,Rear Window,4
REP000177,INSP000122,Crack,3,1532.23,Roof,5
REP000178,INSP000125,Structural Damage,1,3152.18,Right Front Fender,2
REP000179,INSP000125,Paint Damage,2,1866.23,Front Bumper,3
REP000180,INSP000131,Rust,5,2822.35,Roof,2
REP000181,INSP000131,Structural Damage,4,13569.53,Left Front Fender,3
REP000182,INSP000132,Crack,4,2457.87,Rear Window,3
REP000183,INSP000134,Rust,1,586.66,Left Rear Door,3
REP000184,INSP000134,Rust,2,996.93,Left Front Fender,5
REP000185,INSP000134,Crack,1,681.05,Right Rear Door,1
REP000186,INSP000134,Crack,2,1262.16,Right Front Fender,3
REP000187,INSP000134,Paint Damage,5,4600.16,Rear Window,3
REP000188,INSP000135,Scratch,2,383.59,Rear Window,3
REP000189,INSP000135,Structural Damage,2,7153.61,Windshield,4
REP000190,INSP000135,Structural Damage,1,2621.5,Hood,5
REP000191,INSP000135,Scratch,2,372.37,Roof,5
REP000192,INSP000137,Dent,4,1558.06,Left Rear Door,4
REP000193,INSP000138,Crack,4,2600.92,Right Rear Fender,3
REP000194,INSP000139,Rust,3,1649.22,Rear Bumper,1
REP000195,INSP000141,Scratch,1,196.01,Roof,4
REP000196,INSP000141,Glass Damage,4,3540.54,Rear Bumper,2
REP000197,INSP000144,Paint Damage,3,2402.21,Windshield,5
REP000198,INSP000144,Glass Damage,4,3738.92,Roof,3
REP000199,INSP000144,Bumper Damage,1,1430.86,Right Rear Door,5
REP000200,INSP000144,Crack,1,695.5,Front Bumper,5
REP000201,INSP000145,Crack,2,1135.31,Front Bumper,2
REP000202,INSP000147,Structural Damage,4,11949.47,Left Rear Door,5
REP000203,INSP000148,Scratch,1,165.38,Hood,4
REP000204,INSP000148,Glass Damage,4,4374.4,Front Bumper,4
REP000205,INSP000149,Dent,3,1164.9,Right Front Door,1
REP000206,INSP000150,Crack,2,1234.88,Right Front Door,4
REP000207,INSP000151,Bumper Damage,3,3906.6,Trunk,5
REP000208,INSP000154,Crack,5,2806.86,Left Rear Door,4
REP000209,INSP000154,Scratch,1,195.9,Left Rear Door,1
REP000210,INSP000154,Crack,5,2589.82,Rear Bumper,1
REP000211,INSP000155,Bumper Damage,3,3472.63,Left Front Door,2
REP000212,INSP000156,Structural Damage,2,6925.03,Left Rear Door,5
REP000213,INSP000156,Scratch,3,694.58,Hood,5
REP000214,INSP000156,Scratch,1,216.41,Right Front Door,2
REP000215,INSP000157,Rust,1,411.42,Rear Bumper,2
REP000216,INSP000158,Scratch,3,681.9,Right Rear Fender,3
REP000217,INSP000159,Glass Damage,3,2550.98,Left Front Door,3
REP000218,INSP000159,Structural Damage,1,3337.63,Rear Bumper,1
REP000219,INSP000162,Bumper Damage,5,4976.29,Left Front Fender,5
REP000220,INSP000162,Bumper Damage,4,4899.24,Front Bumper,3
REP000221,INSP000163,Scratch,1,212.7,Left Front Fender,5
REP000222,INSP000163,Paint Damage,4,2608.8,Left Rear Fender,4
REP000223,INSP000164,Paint Damage,2,1548.53,Left Front Fender,5
REP000224,INSP000168,Paint Damage,5,4123.82,Hood,3
REP000225,INSP000168,Rust,2,1045.78,Right Rear Fender,3
REP000226,INSP000168,Dent,2,941.22,Windshield,5
REP000227,INSP000168,Structural Damage,4,10179.66,Right Rear Fender,1
REP000228,INSP000169,Structural Damage,1,2977.39,Left Front Fender,4
REP000229,INSP000171,Paint Damage,1,825.05,Rear Window,5
REP000230,INSP000171,Bumper Damage,3,3404.29,Rear Bumper,3
REP000231,INSP000171,Glass Damage,5,5459.17,Left Rear Fender,4
REP000232,INSP000172,Dent,3,1409.0,Right Front Fender,1
REP000233,INSP000172,Structural Damage,3,9422.23,Rear Window,3
REP000234,INSP000172,Dent,5,2297.19,Right Rear Fender,3
REP000235,INSP000174,Glass Damage,5,4320.02,Left Front Door,1
REP000236,INSP000174,Dent,4,1549.98,Rear Window,2
REP000237,INSP000174,Dent,4,1606.52,Roof,2
REP000238,INSP000175,Dent,3,994.65,Hood,3
REP000239,INSP000175,Paint Damage,3,2352.5,Windshield,4
REP000240,INSP000177,Glass Damage,4,4736.78,Hood,1
REP000241,INSP000178,Bumper Damage,1,1342.37,Right Front Fender,4
REP000242,INSP000179,Glass Damage,1,1078.21,Windshield,4
REP000243,INSP000179,Glass Damage,2,2318.52,Right Front Door,2
REP000244,INSP000179,Structural Damage,2,6858.42,Left Front Door,1
REP000245,INSP000180,Crack,2,995.48,Hood,5
REP000246,INSP000180,Paint Damage,1,875.76,Left Front Door,2
REP000247,INSP000180,Bumper Damage,1,982.59,Roof,5
REP000248,INSP000181,Bumper Damage,3,3847.58,Windshield,3
REP000249,INSP000181,Structural Damage,2,5596.03,Right Rear Fender,3
REP000250,INSP000181,Glass Damage,3,3461.66,Left Front Fender,2
REP000251,INSP000181,Structural Damage,3,8140.49,Front Bumper,3
REP000252,INSP000181,Dent,4,1787.6,Rear Window,5
REP000253,INSP000183,Bumper Damage,4,4601.07,Trunk,3
REP000254,INSP000183,Bumper Damage,5,5612.91,Windshield,1
REP000255,INSP000184,Crack,4,2103.39,Left Rear Fender,4
REP000256,INSP000185,Structural Damage,2,5889.68,Right Front Fender,5
REP000257,INSP000185,Crack,4,2606.02,Rear Bumper,2
REP000258,INSP000185,Paint Damage,1,758.12,Front Bumper,5
REP000259,INSP000185,Scratch,2,472.92,Front Bumper,4
REP000260,INSP000185,Crack,4,2003.32,Right Rear Door,4
REP000261,INSP000186,Bumper Damage,4,5323.29,Left Front Fender,4
REP000262,INSP000187,Crack,2,1140.6,Left Rear Fender,1
REP000263,INSP000187,Bumper Damage,4,4473.47,Right Rear Door,1
REP000264,INSP000187,Rust,5,2620.68,Right Rear Door,5
REP000265,INSP000187,Structural Damage,1,2570.71,Right Front Door,1
REP000266,INSP000188,Paint Damage,3,2414.21,Left Front Fender,2
REP000267,INSP000188,Structural Damage,2,5965.54,Hood,2
REP000268,INSP000188,Dent,2,881.25,Roof,3
REP000269,INSP000188,Dent,4,1616.38,Left Rear Fender,4
REP000270,INSP000188,Dent,2,830.81,Right Rear Door,3
REP000271,INSP000189,Paint Damage,3,2626.61,Windshield,3
REP000272,INSP000189,Structural Damage,4,12157.89,Right Front Door,5
REP000273,INSP000189,Paint Damage,5,4185.52,Left Front Fender,3
REP000274,INSP000189,Scratch,2,380.62,Rear Bumper,4
REP000275,INSP000192,Bumper Damage,4,5476.81,Left Rear Door,3
REP000276,INSP000192,Bumper Damage,2,2624.62,Right Rear Fender,2
REP000277,INSP000192,Bumper Damage,4,5027.09,Right Front Door,5
REP000278,INSP000193,Scratch,2,370.22,Right Rear Fender,3
REP000279,INSP000193,Bumper Damage,3,3519.55,Left Rear Fender,1
REP000280,INSP000193,Bumper Damage,4,5270.49,Rear Bumper,5
REP000281,INSP000193,Scratch,3,584.43,Rear Window,4
REP000282,INSP000193,Structural Damage,2,7192.14,Left Front Door,2
REP000283,INSP000194,Paint Damage,1,758.14,Right Front Door,5
REP000284,INSP000194,Paint Damage,5,4017.25,Right Rear Fender,1
REP000285,INSP000196,Glass Damage,4,4354.34,Front Bumper,2
REP000286,INSP000196,Paint Damage,2,1741.51,Windshield,2
REP000287,INSP000198,Scratch,1,216.05,Roof,4
REP000288,INSP000198,Glass Damage,3,2905.6,Roof,4
REP000289,INSP000198,Paint Damage,2,1565.0,Roof,5
REP000290,INSP000200,Crack,3,1978.87,Left Rear Door,3
REP000291,INSP000200,Paint Damage,1,945.58,Right Front Door,2
REP000292,INSP000201,Crack,4,2239.57,Trunk,4
REP000293,INSP000201,Structural Damage,4,11952.26,Right Front Door,5
REP000294,INSP000202,Structural Damage,1,2769.75,Left Rear Door,2
REP000295,INSP000202,Paint Damage,3,2801.19,Windshield,2
REP000296,INSP000203,Paint Damage,5,4373.98,Trunk,1
REP000297,INSP000205,Rust,5,2842.95,Rear Window,3
REP000298,INSP000206,Rust,2,941.08,Roof,1
REP000299,INSP000208,Crack,5,2907.25,Front Bumper,4
REP000300,INSP000208,Scratch,2,470.35,Roof,5
REP000301,INSP000208,Crack,2,1009.13,Front Bumper,1
REP000302,INSP000209,Scratch,4,886.03,Left Rear Fender,3
REP000303,INSP000209,Crack,1,546.34,Right Front Door,2
REP000304,INSP000209,Glass Damage,3,3321.4,Left Rear Door,3
REP000305,INSP000209,Paint Damage,4,2745.58,Left Rear Door,1
REP000306,INSP000210,Paint Damage,1,855.07,Hood,3
REP000307,INSP000210,Structural Damage,4,12164.83,Hood,4
REP000308,INSP000210,Paint Damage,5,4094.53,Right Front Door,3
REP000309,INSP000210,Rust,5,2505.99,Right Front Door,5
REP000310,INSP000212,Glass Damage,3,3059.74,Right Rear Door,2
REP000311,INSP000212,Dent,4,1398.33,Right Front Fender,3
REP000312,INSP000214,Structural Damage,3,8189.21,Front Bumper,2
REP000313,INSP000215,Crack,2,1068.31,Right Rear Door,3
REP000314,INSP000215,Crack,5,3071.72,Rear Bumper,3
REP000315,INSP000216,Paint Damage,1,733.98,Left Front Fender,2
REP000316,INSP000216,Scratch,3,627.97,Rear Window,4
REP000317,INSP000217,Paint Damage,4,3284.32,Left Front Door,2
REP000318,INSP000219,Scratch,1,160.92,Right Rear Fender,4
REP000319,INSP000219,Structural Damage,5,12426.55,Trunk,5
REP000320,INSP000219,Bumper Damage,1,992.82,Windshield,5
REP000321,INSP000220,Rust,2,1060.67,Hood,3
REP000322,INSP000222,Bumper Damage,4,5025.27,Left Rear Door,1
REP000323,INSP000223,Paint Damage,4,3497.33,Left Front Door,3
REP000324,INSP000223,Bumper Damage,1,1143.05,Windshield,1
REP000325,INSP000224,Glass Damage,4,3488.15,Left Rear Fender,4
REP000326,INSP000224,Paint Damage,1,661.42,Trunk,3
REP000327,INSP000225,Dent,3,1320.06,Left Front Fender,2
REP000328,INSP000225,Scratch,5,863.89,Left Front Door,5
REP000329,INSP000225,Scratch,2,323.43,Left Front Door,2
REP000330,INSP000225,Paint Damage,5,3976.79,Trunk,2
REP000331,INSP000227,Paint Damage,1,950.4,Right Rear Door,2
REP000332,INSP000228,Bumper Damage,4,5058.39,Left Rear Door,3
REP000333,INSP000228,Structural Damage,2,7081.44,Right Front Door,4
REP000334,INSP000229,Scratch,5,835.36,Trunk,2
REP000335,INSP000229,Rust,3,1764.94,Left Rear Door,4
REP000336,INSP000229,Crack,2,1062.46,Right Front Door,4
REP000337,INSP000231,Bumper Damage,5,6614.12,Right Rear Fender,4
REP000338,INSP000232,Crack,5,3436.1,Left Front Fender,5
REP000339,INSP000232,Scratch,3,621.93,Front Bumper,1
REP000340,INSP000234,Dent,4,1571.99,Left Rear Fender,3
REP000341,INSP000234,Rust,1,580.8,Right Rear Door,3
REP000342,INSP000234,Paint Damage,2,1739.29,Rear Window,1
REP000343,INSP000234,Paint Damage,2,1781.68,Left Rear Door,5
REP000344,INSP000235,Structural Damage,4,10968.58,Rear Window,1
REP000345,INSP000235,Dent,4,1834.29,Left Front Fender,1
REP000346,INSP000235,Paint Damage,1,954.79,Roof,1
REP000347,INSP000238,Rust,5,2689.63,Left Rear Door,2
REP000348,INSP000240,Dent,4,1891.67,Trunk,4
REP000349,INSP000240,Scratch,1,208.85,Left Rear Fender,4
REP000350,INSP000242,Structural Damage,3,10042.13,Right Front Door,3
REP000351,INSP000243,Rust,1,509.72,Right Front Fender,5
REP000352,INSP000243,Dent,2,714.04,Front Bumper,5
REP000353,INSP000246,Paint Damage,2,1407.92,Roof,4
REP000354,INSP000246,Dent,4,1889.11,Right Rear Door,4
REP000355,INSP000246,Rust,2,1059.35,Trunk,3
REP000356,INSP000247,Paint Damage,4,3603.65,Roof,2
REP000357,INSP000248,Dent,5,2088.26,Right Rear Fender,1
REP000358,INSP000249,Crack,1,662.81,Windshield,1
REP000359,INSP000249,Dent,2,739.34,Trunk,3
REP000360,INSP000249,Rust,4,2344.2,Left Rear Door,1
REP000361,INSP000250,Scratch,1,188.2,Front Bumper,2
REP000362,INSP000250,Glass Damage,3,3318.53,Rear Bumper,5
REP000363,INSP000250,Crack,2,1309.86,Left Front Door,4
REP000364,INSP000252,Bumper Damage,3,3011.15,Windshield,4
REP000365,INSP000254,Crack,1,595.4,Roof,5
REP000366,INSP000254,Rust,4,2300.47,Right Front Fender,4
REP000367,INSP000255,Rust,5,2454.32,Left Rear Fender,4
REP000368,INSP000255,Crack,4,2315.25,Trunk,4
REP000369,INSP000258,Bumper Damage,5,5011.5,Right Front Door,1
REP000370,INSP000258,Dent,3,1153.56,Right Front Door,4
REP000371,INSP000258,Glass Damage,5,4151.02,Right Rear Fender,2
REP000372,INSP000259,Glass Damage,1,1194.51,Right Front Fender,3
REP000373,INSP000259,Crack,2,1051.36,Trunk,3
REP000374,INSP000260,Scratch,3,600.04,Left Front Door,1
REP000375,INSP000260,Crack,2,1173.64,Right Front Door,2
REP000376,INSP000261,Paint Damage,3,2495.07,Right Rear Door,3
REP000377,INSP000262,Scratch,4,745.61,Front Bumper,5
REP000378,INSP000262,Rust,3,1706.34,Left Front Door,5
REP000379,INSP000263,Scratch,4,921.12,Trunk,3
REP000380,INSP000263,Crack,1,712.29,Windshield,5
REP000381,INSP000265,Scratch,2,440.42,Left Rear Fender,2
REP000382,INSP000265,Scratch,3,624.72,Right Rear Door,1
REP000383,INSP000265,Crack,3,1649.03,Right Rear Door,2
REP000384,INSP000266,Dent,3,1153.96,Roof,5
REP000385,INSP000267,Glass Damage,5,5771.23,Left Front Fender,4
REP000386,INSP000267,Crack,1,512.54,Right Rear Door,2
REP000387,INSP000267,Structural Damage,2,4984.59,Front Bumper,4
REP000388,INSP000268,Structural Damage,3,9532.61,Rear Bumper,1
REP000389,INSP000272,Crack,4,2588.87,Windshield,1
REP000390,INSP000272,Glass Damage,2,2365.05,Trunk,2
REP000391,INSP000273,Scratch,5,835.31,Left Front Fender,3
REP000392,INSP000274,Dent,5,1838.51,Right Rear Fender,4
REP000393,INSP000274,Rust,2,1080.67,Left Rear Fender,3
REP000394,INSP000277,Dent,4,1648.48,Right Front Door,1
REP000395,INSP000279,Dent,3,986.11,Roof,4
REP000396,INSP000279,Bumper Damage,2,2206.15,Left Rear Door,3
REP000397,INSP000281,Glass Damage,1,909.85,Left Rear Fender,1
REP000398,INSP000281,Scratch,3,491.25,Left Front Fender,1
REP000399,INSP000283,Dent,2,959.14,Right Rear Fender,3
REP000400,INSP000283,Paint Damage,4,3170.15,Right Front Door,3
REP000401,INSP000285,Bumper Damage,4,4721.52,Left Front Door,4
REP000402,INSP000285,Glass Damage,4,4695.4,Left Rear Door,4
REP000403,INSP000285,Structural Damage,2,6443.16,Left Rear Door,2
REP000404,INSP000285,Scratch,2,407.97,Roof,3
REP000405,INSP000285,Dent,3,1377.62,Rear Bumper,5
REP000406,INSP000286,Bumper Damage,1,1060.41,Right Rear Door,4
REP000407,INSP000286,Crack,4,2005.64,Right Rear Fender,5
REP000408,INSP000286,Structural Damage,3,9261.05,Left Rear Door,3
REP000409,INSP000286,Rust,2,1096.25,Roof,5
REP000410,INSP000286,Glass Damage,3,2508.87,Right Front Fender,2
REP000411,INSP000287,Paint Damage,5,4417.75,Right Front Door,2
REP000412,INSP000288,Bumper Damage,2,2789.26,Windshield,1
REP000413,INSP000288,Rust,2,1198.11,Windshield,5
REP000414,INSP000288,Dent,5,2392.42,Right Rear Fender,4
REP000415,INSP000289,Paint Damage,2,1628.81,Front Bumper,4
REP000416,INSP000289,Scratch,3,603.3,Trunk,3
REP000417,INSP000290,Rust,2,987.14,Rear Window,1
REP000418,INSP000290,Paint Damage,4,2981.92,Right Front Fender,4
REP000419,INSP000292,Bumper Damage,4,5330.96,Trunk,5
REP000420,INSP000292,Structural Damage,3,8318.81,Right Front Fender,4
REP000421,INSP000293,Rust,4,1755.47,Trunk,4
REP000422,INSP000295,Bumper Damage,3,4051.29,Left Front Fender,4
REP000423,INSP000296,Scratch,1,175.23,Left Front Fender,2
REP000424,INSP000297,Rust,4,2361.24,Right Front Door,5
REP000425,INSP000298,Crack,3,1691.22,Hood,3
REP000426,INSP000298,Crack,5,3315.68,Right Front Fender,5
REP000427,INSP000299,Bumper Damage,4,5614.55,Right Rear Door,4
REP000428,INSP000299,Paint Damage,3,2114.46,Trunk,5
REP000429,INSP000299,Scratch,3,690.51,Left Front Door,5
REP000430,INSP000299,Bumper Damage,1,1142.39,Right Front Fender,1
REP000431,INSP000302,Bumper Damage,1,1217.48,Roof,4
